                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   49821874 |          0 |          0 |          0 |          0 |   90706930 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   90733218 |          0 |          0 |          0 |          0 |   90730442 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400 |   95598400
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.52 |       0.00 |       0.00 |       0.00 |       0.00 |       0.95 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.95 |       0.00 |       0.00 |       0.00 |       0.00 |       0.95 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600
  Idle time (ns)                     |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   15817112 |   23899600 |   23899600 |   23899600 |   23899600 |    8143915 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |    8505347 |   23899600 |   23899600 |   23899600 |   23899600 |    8478712 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600 |   23899600
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      66.2% |     100.0% |     100.0% |     100.0% |     100.0% |      34.1% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      35.6% |     100.0% |     100.0% |     100.0% |     100.0% |      35.5% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    8254568 |          0 |          0 |          0 |          0 |    5179240 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    5200325 |          0 |          0 |          0 |          0 |    5194754 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     529684 |          0 |          0 |          0 |          0 |     145225 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     125089 |          0 |          0 |          0 |          0 |     129498 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      6.03% |      0.00% |      0.00% |      0.00% |      0.00% |      2.73% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      2.35% |      0.00% |      0.00% |      0.00% |      0.00% |      2.43% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
