                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15     | Core 16     | Core 17     | Core 18     | Core 19     | Core 20     | Core 21     | Core 22     | Core 23     | Core 24     | Core 25     | Core 26     | Core 27     | Core 28     | Core 29     | Core 30     | Core 31     | Core 32     | Core 33     | Core 34     | Core 35     | Core 36     | Core 37     | Core 38     | Core 39     | Core 40     | Core 41     | Core 42     | Core 43     | Core 44     | Core 45     | Core 46     | Core 47     | Core 48     | Core 49     | Core 50     | Core 51     | Core 52     | Core 53     | Core 54     | Core 55     | Core 56     | Core 57     | Core 58     | Core 59     | Core 60     | Core 61     | Core 62     | Core 63    
  Instructions                       |   149091579 |           0 |           0 |           0 |           0 |           0 |           0 |   217035908 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |   138516316 |           0 |           0 |           0 |           0 |           0 |           0 |  1372199719
  Cycles                             |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600 |  1234155600
  IPC                                |        0.12 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.18 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.11 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        1.11
  Time (ns)                          |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900
  Idle time (ns)                     |   274938206 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   283317581 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   276272333 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |   308538900 |    37716838
  Idle time (%)                      |       89.1% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |       91.8% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |       89.5% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |       12.2%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    21027275 |           0 |           0 |           0 |           0 |           0 |           0 |     1225694 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |    13613867 |           0 |           0 |           0 |           0 |           0 |           0 |   155451135
  num incorrect                      |       19744 |           0 |           0 |           0 |           0 |           0 |           0 |       62334 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |       52051 |           0 |           0 |           0 |           0 |           0 |           0 |    15139641
  misprediction rate                 |       0.09% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       4.84% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.38% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       8.87%
