                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  979636013 |          0 |          0 |          0 |          0 |  119179285 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  123897416 |          0 |          0 |          0 |          0 |  124463804 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400 |  756326400
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.30 |       0.00 |       0.00 |       0.00 |       0.00 |       0.16 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.16 |       0.00 |       0.00 |       0.00 |       0.00 |       0.16 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600
  Idle time (ns)                     |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |    1091860 |  189081600 |  189081600 |  189081600 |  189081600 |  151987979 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  151980785 |  189081600 |  189081600 |  189081600 |  189081600 |  151899015 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600 |  189081600
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |       0.6% |     100.0% |     100.0% |     100.0% |     100.0% |      80.4% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      80.4% |     100.0% |     100.0% |     100.0% |     100.0% |      80.3% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  154984962 |          0 |          0 |          0 |          0 |   11735750 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   12208128 |          0 |          0 |          0 |          0 |   12254390 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    8724831 |          0 |          0 |          0 |          0 |    1246136 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    1234392 |          0 |          0 |          0 |          0 |    1230074 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      5.33% |      0.00% |      0.00% |      0.00% |      0.00% |      9.60% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      9.18% |      0.00% |      0.00% |      0.00% |      0.00% |      9.12% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
