                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  978496960 |  120462185 |          0 |          0 |          0 |          0 |          0 |          0 |  124074428 |  124065695 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000 |  996596000
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.98 |       0.12 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.12 |       0.12 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000
  Idle time (ns)                     |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |    2224712 |  202377286 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  202376700 |  202329655 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000 |  249149000
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |       0.9% |      81.2% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      81.2% |      81.2% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  155111614 |   11853197 |          0 |          0 |          0 |          0 |          0 |          0 |   12194998 |   12230832 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    8474848 |    1267459 |          0 |          0 |          0 |          0 |          0 |          0 |    1234957 |    1238747 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      5.18% |      9.66% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      9.20% |      9.20% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
